Lead Actuator Force ,Lead Actuator Displacment 
11.27,2.98
11.31,3.00
11.36,3.02
11.40,3.05
11.45,3.07
11.49,3.09
11.53,3.11
11.58,3.13
11.62,3.15
11.67,3.18
11.71,3.20
11.75,3.22
11.79,3.24
11.72,3.26
11.69,3.25
11.41,3.23
11.15,3.20
10.91,3.17
10.70,3.15
10.51,3.13
10.32,3.11
10.16,3.08
9.96,3.06
9.84,3.04
9.66,3.01
9.55,2.99
9.39,2.97
9.29,2.95
9.14,2.92
9.04,2.90
8.91,2.88
8.79,2.86
8.68,2.84
8.56,2.81
8.45,2.79
8.33,2.77
8.24,2.74
8.11,2.72
8.03,2.70
7.91,2.67
7.82,2.65
7.71,2.63
7.61,2.61
7.52,2.58
7.41,2.56
7.33,2.54
7.22,2.52
7.14,2.50
7.04,2.47
6.94,2.45
6.85,2.43
6.76,2.41
6.66,2.38
6.58,2.36
6.49,2.34
6.39,2.32
6.31,2.30
6.21,2.27
6.13,2.25
6.03,2.23
5.94,2.20
5.85,2.18
5.77,2.16
5.67,2.14
5.57,2.12
5.48,2.09
5.38,2.07
5.29,2.05
5.20,2.03
5.10,2.00
5.00,1.98
4.90,1.96
4.80,1.94
4.70,1.91
4.60,1.89
4.49,1.87
4.39,1.84
4.29,1.82
4.18,1.80
4.08,1.78
3.97,1.76
3.87,1.74
3.78,1.71
3.67,1.69
3.56,1.67
3.45,1.65
3.34,1.62
3.24,1.60
3.14,1.58
3.04,1.55
2.94,1.53
2.83,1.51
2.73,1.49
2.62,1.47
2.53,1.44
2.42,1.42
2.32,1.40
2.22,1.38
2.12,1.35
2.03,1.33
1.93,1.31
1.84,1.29
1.75,1.26
1.65,1.24
1.56,1.22
1.46,1.19
1.38,1.17
1.29,1.15
1.19,1.13
1.10,1.11
1.01,1.09
0.91,1.06
0.83,1.04
0.74,1.02
0.65,1.00
0.56,0.98
0.47,0.95
0.39,0.93
0.29,0.91
0.20,0.88
0.11,0.86
0.03,0.84
-0.06,0.82
-0.14,0.80
-0.23,0.77
-0.33,0.75
-0.40,0.73
-0.50,0.70
-0.58,0.68
-0.66,0.66
-0.75,0.64
-0.83,0.61
-0.93,0.59
-1.01,0.57
-1.09,0.55
-1.17,0.53
-1.26,0.50
-1.34,0.48
-1.42,0.46
-1.50,0.43
-1.58,0.41
-1.66,0.39
-1.74,0.37
-1.82,0.35
-1.90,0.32
-1.97,0.30
-2.04,0.28
-2.12,0.26
-2.18,0.23
-2.25,0.21
-2.31,0.19
-2.37,0.17
-2.43,0.15
-2.48,0.12
-2.52,0.10
-2.57,0.08
-2.62,0.06
-2.68,0.03
-2.74,0.01
-2.81,-0.01
-2.87,-0.03
-2.94,-0.06
-3.02,-0.08
-3.09,-0.10
-3.17,-0.13
-3.24,-0.15
-3.34,-0.17
-3.42,-0.19
-3.51,-0.21
-3.60,-0.23
-3.69,-0.26
-3.79,-0.28
-3.87,-0.30
-3.97,-0.32
-4.06,-0.35
-4.15,-0.37
-4.23,-0.39
-4.32,-0.41
-4.41,-0.44
-4.50,-0.46
-4.58,-0.48
-4.66,-0.50
-4.74,-0.52
-4.83,-0.55
-4.91,-0.57
-5.00,-0.59
-5.07,-0.61
-5.16,-0.64
-5.24,-0.66
-5.32,-0.68
-5.42,-0.70
-5.50,-0.72
-5.59,-0.75
-5.68,-0.77
-5.77,-0.79
-5.86,-0.82
-5.94,-0.84
-6.03,-0.86
-6.11,-0.88
-6.19,-0.91
-6.28,-0.92
-6.36,-0.95
-6.44,-0.97
-6.52,-0.99
-6.61,-1.01
-6.69,-1.04
-6.77,-1.06
-6.84,-1.09
-6.92,-1.11
-7.00,-1.13
-7.08,-1.15
-7.16,-1.17
-7.25,-1.20
-7.33,-1.22
-7.41,-1.24
-7.50,-1.26
-7.59,-1.28
-7.67,-1.31
-7.75,-1.33
-7.84,-1.35
-7.92,-1.37
-8.00,-1.39
-8.08,-1.42
-8.16,-1.44
-8.25,-1.46
-8.33,-1.48
-8.41,-1.51
-8.49,-1.53
-8.57,-1.55
-8.65,-1.57
-8.72,-1.60
-8.80,-1.62
-8.87,-1.64
-8.94,-1.67
-9.02,-1.69
-9.08,-1.71
-9.16,-1.73
-9.23,-1.75
-9.30,-1.77
-9.37,-1.80
-9.43,-1.82
-9.50,-1.85
-9.57,-1.87
-9.63,-1.88
-9.70,-1.91
-9.77,-1.93
-9.84,-1.95
-9.90,-1.98
-9.97,-2.00
-10.03,-2.02
-10.10,-2.04
-10.16,-2.07
-10.22,-2.09
-10.28,-2.11
-10.34,-2.13
-10.40,-2.15
-10.46,-2.18
-10.52,-2.20
-10.58,-2.22
-10.63,-2.24
-10.69,-2.27
-10.75,-2.29
-10.81,-2.31
-10.87,-2.33
-10.92,-2.36
-10.98,-2.38
-11.04,-2.40
-11.10,-2.42
-11.15,-2.45
-11.21,-2.47
-11.27,-2.49
-11.32,-2.51
-11.38,-2.53
-11.43,-2.56
-11.49,-2.58
-11.55,-2.60
-11.60,-2.62
-11.66,-2.65
-11.71,-2.67
-11.77,-2.69
-11.83,-2.71
-11.88,-2.74
-11.94,-2.76
-11.99,-2.78
-12.05,-2.80
-12.10,-2.83
-12.15,-2.85
-12.21,-2.87
-12.26,-2.89
-12.31,-2.92
-12.37,-2.94
-12.42,-2.96
-12.47,-2.98
-12.52,-3.00
-12.58,-3.03
-12.63,-3.05
-12.68,-3.07
-12.74,-3.09
-12.79,-3.11
-12.84,-3.14
-12.89,-3.16
-12.94,-3.18
-13.00,-3.21
-13.05,-3.23
-13.10,-3.25
-13.04,-3.26
-12.89,-3.26
-12.64,-3.22
-12.35,-3.19
-12.13,-3.17
-11.95,-3.15
-11.73,-3.13
-11.53,-3.11
-11.36,-3.09
-11.17,-3.06
-11.01,-3.04
-10.84,-3.02
-10.70,-3.00
-10.51,-2.97
-10.39,-2.95
-10.22,-2.93
-10.07,-2.91
-9.92,-2.88
-9.78,-2.86
-9.62,-2.84
-9.50,-2.81
-9.35,-2.79
-9.22,-2.77
-9.09,-2.75
-8.95,-2.73
-8.82,-2.70
-8.68,-2.68
-8.55,-2.66
-8.45,-2.64
-8.30,-2.61
-8.18,-2.59
-8.05,-2.57
-7.93,-2.54
-7.81,-2.52
-7.71,-2.50
-7.59,-2.48
-7.48,-2.45
-7.36,-2.43
-7.25,-2.41
-7.14,-2.39
-7.03,-2.36
-6.92,-2.34
-6.82,-2.32
-6.72,-2.30
-6.62,-2.28
-6.51,-2.25
-6.41,-2.23
-6.30,-2.21
-6.21,-2.19
-6.11,-2.16
-6.02,-2.14
-5.93,-2.12
-5.84,-2.10
-5.74,-2.08
-5.66,-2.05
-5.56,-2.03
-5.47,-2.01
-5.38,-1.98
-5.29,-1.96
-5.20,-1.94
-5.12,-1.92
-5.03,-1.89
-4.95,-1.87
-4.86,-1.85
-4.78,-1.83
-4.70,-1.80
-4.62,-1.78
-4.53,-1.76
-4.45,-1.74
-4.37,-1.72
-4.29,-1.69
-4.21,-1.67
-4.14,-1.64
-4.05,-1.62
-3.98,-1.60
-3.90,-1.58
-3.82,-1.56
-3.74,-1.53
-3.66,-1.51
-3.59,-1.49
-3.52,-1.47
-3.44,-1.45
-3.37,-1.42
-3.28,-1.40
-3.20,-1.38
-3.13,-1.36
-3.05,-1.33
-2.97,-1.31
-2.88,-1.29
-2.80,-1.27
-2.72,-1.24
-2.64,-1.22
-2.56,-1.20
-2.47,-1.18
-2.40,-1.15
-2.31,-1.13
-2.23,-1.11
-2.15,-1.09
-2.06,-1.06
-1.98,-1.04
-1.90,-1.02
-1.82,-1.00
-1.74,-0.98
-1.65,-0.95
-1.57,-0.93
-1.49,-0.91
-1.41,-0.89
-1.32,-0.87
-1.24,-0.84
-1.16,-0.82
-1.08,-0.80
-1.00,-0.78
-0.91,-0.75
-0.83,-0.73
-0.75,-0.71
-0.67,-0.69
-0.58,-0.66
-0.50,-0.64
-0.42,-0.62
-0.34,-0.60
-0.27,-0.57
-0.19,-0.55
-0.11,-0.53
-0.03,-0.51
0.04,-0.48
0.12,-0.46
0.19,-0.44
0.27,-0.42
0.35,-0.39
0.43,-0.37
0.51,-0.35
0.59,-0.33
0.67,-0.30
0.75,-0.28
0.82,-0.26
0.90,-0.24
0.98,-0.22
1.06,-0.19
1.13,-0.17
1.21,-0.15
1.28,-0.13
1.35,-0.10
1.43,-0.08
1.51,-0.06
1.58,-0.04
1.66,-0.02
1.70,0.01
1.76,0.02
1.83,0.03
1.91,0.06
1.99,0.08
2.07,0.11
2.15,0.13
2.22,0.15
2.30,0.17
2.38,0.20
2.45,0.22
2.53,0.24
2.61,0.26
2.69,0.29
2.77,0.30
2.84,0.33
2.92,0.35
2.99,0.37
3.08,0.39
3.16,0.42
3.24,0.44
3.31,0.46
3.40,0.48
3.48,0.51
3.56,0.53
3.63,0.55
3.71,0.57
3.79,0.59
3.87,0.62
3.95,0.64
4.03,0.66
4.10,0.68
4.18,0.71
4.26,0.73
4.34,0.75
4.42,0.77
4.49,0.80
4.57,0.82
4.65,0.84
4.74,0.86
4.82,0.89
4.90,0.91
4.99,0.93
5.08,0.95
5.16,0.97
5.24,0.99
5.33,1.02
5.42,1.04
5.50,1.06
5.59,1.09
5.68,1.11
5.76,1.13
5.84,1.16
5.93,1.18
6.01,1.20
6.09,1.22
6.17,1.24
6.26,1.26
6.34,1.29
6.43,1.31
6.52,1.34
6.59,1.35
6.68,1.38
6.76,1.40
6.85,1.42
6.93,1.44
7.01,1.46
7.09,1.49
7.17,1.51
7.26,1.53
7.34,1.55
7.42,1.58
7.50,1.60
7.58,1.62
7.66,1.64
7.74,1.67
7.82,1.69
7.90,1.71
7.98,1.73
8.06,1.75
8.13,1.78
8.20,1.80
8.27,1.83
8.35,1.85
8.42,1.87
8.49,1.89
8.55,1.91
8.61,1.94
8.67,1.96
8.73,1.98
8.79,2.00
8.86,2.03
8.92,2.05
8.98,2.07
9.04,2.10
9.10,2.12
9.16,2.14
9.21,2.16
9.27,2.18
9.33,2.20
9.39,2.22
9.45,2.25
9.51,2.27
9.56,2.29
9.62,2.32
9.68,2.34
9.74,2.36
9.80,2.38
9.85,2.41
9.91,2.42
9.87,2.44
9.85,2.44
9.61,2.42
9.38,2.39
9.18,2.36
9.00,2.34
8.80,2.32
8.63,2.30
8.48,2.27
8.30,2.25
8.15,2.23
7.99,2.20
7.86,2.18
7.69,2.16
7.61,2.14
7.46,2.11
7.35,2.09
7.23,2.07
7.11,2.05
7.00,2.02
6.89,2.00
6.77,1.98
6.66,1.96
6.56,1.93
6.44,1.91
6.34,1.89
6.22,1.87
6.11,1.85
5.99,1.82
5.88,1.80
5.76,1.78
5.63,1.76
5.52,1.73
5.39,1.71
5.28,1.69
5.15,1.67
5.04,1.64
4.91,1.62
4.80,1.60
4.67,1.58
4.56,1.55
4.44,1.53
4.31,1.51
4.20,1.49
4.07,1.46
3.96,1.44
3.84,1.42
3.73,1.40
3.61,1.37
3.49,1.35
3.38,1.33
3.27,1.31
3.15,1.28
3.03,1.26
2.93,1.24
2.82,1.22
2.72,1.20
2.60,1.17
2.49,1.15
2.39,1.13
2.27,1.11
2.18,1.09
2.07,1.06
1.98,1.04
1.88,1.02
1.78,1.00
1.69,0.97
1.58,0.95
1.49,0.93
1.39,0.91
1.30,0.88
1.21,0.86
1.10,0.84
1.01,0.82
0.92,0.79
0.83,0.77
0.74,0.75
0.65,0.72
0.55,0.70
0.47,0.68
0.38,0.65
0.29,0.63
0.20,0.61
0.11,0.59
0.03,0.57
-0.06,0.55
-0.14,0.52
-0.23,0.50
-0.31,0.48
-0.39,0.46
-0.48,0.43
-0.56,0.41
-0.65,0.39
-0.73,0.37
-0.82,0.35
-0.89,0.32
-0.98,0.30
-1.06,0.28
-1.15,0.26
-1.22,0.23
-1.31,0.21
-1.38,0.19
-1.46,0.17
-1.53,0.14
-1.61,0.12
-1.69,0.10
-1.77,0.08
-1.85,0.06
-1.93,0.03
-2.01,0.01
-2.09,-0.01
-2.17,-0.04
-2.24,-0.06
-2.32,-0.08
-2.40,-0.10
-2.47,-0.13
-2.55,-0.15
-2.62,-0.17
-2.70,-0.19
-2.78,-0.21
-2.86,-0.24
-2.94,-0.26
-3.02,-0.29
-3.10,-0.31
-3.17,-0.33
-3.25,-0.35
-3.34,-0.37
-3.44,-0.39
-3.53,-0.41
-3.62,-0.44
-3.72,-0.46
-3.81,-0.48
-3.90,-0.51
-4.00,-0.52
-4.10,-0.55
-4.20,-0.57
-4.30,-0.60
-4.39,-0.62
-4.49,-0.64
-4.57,-0.66
-4.67,-0.68
-4.76,-0.71
-4.86,-0.73
-4.95,-0.75
-5.04,-0.77
-5.12,-0.80
-5.21,-0.82
-5.30,-0.84
-5.39,-0.86
-5.48,-0.89
-5.57,-0.91
-5.66,-0.93
-5.74,-0.96
-5.83,-0.98
-5.91,-1.00
-6.00,-1.02
-6.09,-1.05
-6.17,-1.06
-6.26,-1.09
-6.34,-1.11
-6.42,-1.13
-6.50,-1.15
-6.59,-1.18
-6.67,-1.20
-6.75,-1.22
-6.84,-1.24
-6.92,-1.26
-7.00,-1.29
-7.08,-1.31
-7.16,-1.33
-7.24,-1.36
-7.32,-1.38
-7.40,-1.40
-7.47,-1.42
-7.56,-1.45
-7.63,-1.47
-7.72,-1.49
-7.79,-1.51
-7.88,-1.54
-7.96,-1.56
-8.04,-1.58
-8.12,-1.60
-8.21,-1.62
-8.28,-1.65
-8.36,-1.67
-8.44,-1.69
-8.52,-1.71
-8.60,-1.73
-8.67,-1.76
-8.75,-1.78
-8.82,-1.80
-8.90,-1.82
-8.97,-1.85
-9.04,-1.87
-9.11,-1.89
-9.18,-1.92
-9.24,-1.94
-9.31,-1.96
-9.37,-1.98
-9.44,-2.01
-9.51,-2.03
-9.57,-2.05
-9.63,-2.07
-9.70,-2.09
-9.76,-2.12
-9.82,-2.14
-9.88,-2.16
-9.95,-2.19
-10.01,-2.21
-10.07,-2.23
-10.14,-2.25
-10.20,-2.27
-10.27,-2.29
-10.33,-2.32
-10.39,-2.34
-10.45,-2.36
-10.51,-2.38
-10.57,-2.41
-10.64,-2.43
-10.60,-2.44
-10.56,-2.44
-10.23,-2.41
-9.97,-2.38
-9.74,-2.36
-9.55,-2.34
-9.32,-2.31
-9.13,-2.29
-8.93,-2.27
-8.76,-2.25
-8.59,-2.23
-8.43,-2.20
-8.26,-2.18
-8.10,-2.15
-7.96,-2.13
-7.80,-2.11
-7.65,-2.09
-7.51,-2.07
-7.36,-2.04
-7.22,-2.02
-7.07,-2.00
-6.94,-1.97
-6.81,-1.95
-6.68,-1.93
-6.54,-1.91
-6.42,-1.89
-6.29,-1.86
-6.15,-1.84
-6.02,-1.82
-5.89,-1.79
-5.77,-1.77
-5.64,-1.75
-5.53,-1.73
-5.42,-1.70
-5.31,-1.68
-5.21,-1.66
-5.08,-1.64
-4.97,-1.61
-4.87,-1.60
-4.75,-1.57
-4.65,-1.55
-4.54,-1.52
-4.44,-1.50
-4.33,-1.48
-4.23,-1.46
-4.12,-1.43
-4.02,-1.41
-3.91,-1.39
-3.81,-1.37
-3.71,-1.35
-3.61,-1.32
-3.50,-1.30
-3.40,-1.28
-3.31,-1.26
-3.21,-1.23
-3.11,-1.21
-3.02,-1.19
-2.92,-1.17
-2.82,-1.14
-2.73,-1.12
-2.64,-1.10
-2.56,-1.07
-2.46,-1.06
-2.37,-1.03
-2.27,-1.01
-2.18,-0.99
-2.09,-0.96
-2.00,-0.94
-1.91,-0.92
-1.83,-0.90
-1.74,-0.88
-1.65,-0.85
-1.56,-0.83
-1.47,-0.81
-1.38,-0.79
-1.29,-0.76
-1.21,-0.74
-1.13,-0.72
-1.04,-0.70
-0.96,-0.67
-0.87,-0.65
-0.79,-0.63
-0.70,-0.61
-0.62,-0.59
-0.54,-0.56
-0.45,-0.54
-0.38,-0.52
-0.29,-0.50
-0.22,-0.47
-0.13,-0.45
-0.06,-0.43
0.02,-0.40
0.10,-0.38
0.18,-0.36
0.26,-0.34
0.35,-0.32
0.43,-0.29
0.50,-0.27
0.59,-0.25
0.66,-0.23
0.74,-0.20
0.81,-0.18
0.89,-0.16
0.97,-0.14
1.05,-0.12
1.13,-0.09
1.21,-0.07
1.30,-0.05
1.37,-0.03
1.45,0.00
1.53,0.02
1.60,0.04
1.68,0.06
1.77,0.09
1.86,0.11
1.92,0.13
2.01,0.15
2.09,0.17
2.18,0.20
2.26,0.22
2.33,0.24
2.42,0.27
2.50,0.29
2.58,0.31
2.67,0.33
2.75,0.36
2.83,0.38
2.90,0.40
2.99,0.42
3.07,0.44
3.15,0.47
3.24,0.49
3.31,0.51
3.40,0.53
3.48,0.55
3.56,0.58
3.64,0.60
3.72,0.62
3.80,0.64
3.88,0.67
3.97,0.69
4.04,0.71
4.13,0.73
4.22,0.76
4.30,0.78
4.38,0.80
4.46,0.82
4.55,0.85
4.62,0.87
4.70,0.89
4.78,0.91
4.87,0.94
4.96,0.96
5.05,0.98
5.14,1.00
5.23,1.03
5.31,1.05
5.40,1.07
5.49,1.09
5.58,1.12
5.67,1.14
5.75,1.16
5.84,1.18
5.92,1.21
6.01,1.23
6.09,1.25
6.17,1.27
6.26,1.29
6.35,1.32
6.43,1.34
6.52,1.36
6.61,1.38
6.69,1.41
6.78,1.43
6.86,1.45
6.95,1.47
7.04,1.49
7.12,1.52
7.20,1.54
7.29,1.56
7.37,1.58
7.46,1.60
7.54,1.63
7.62,1.65
7.71,1.67
7.79,1.70
7.88,1.72
7.96,1.74
8.04,1.76
8.11,1.79
8.19,1.81
8.26,1.83
8.33,1.85
8.41,1.87
8.48,1.90
8.54,1.92
8.61,1.94
8.68,1.96
8.74,1.98
8.80,2.00
8.87,2.03
8.94,2.05
9.00,2.07
9.06,2.10
9.12,2.12
9.18,2.14
9.25,2.17
9.30,2.19
9.36,2.21
9.42,2.23
9.49,2.25
9.55,2.27
9.61,2.30
9.67,2.32
9.73,2.34
9.79,2.37
9.85,2.39
9.91,2.41
9.96,2.43
9.91,2.44
9.80,2.43
9.60,2.40
9.34,2.38
9.15,2.36
8.96,2.34
8.81,2.31
8.60,2.29
8.46,2.27
8.29,2.24
8.14,2.22
7.97,2.20
7.85,2.18
7.69,2.15
7.58,2.13
7.46,2.11
7.33,2.09
7.23,2.06
7.12,2.04
7.00,2.02
6.89,1.99
6.78,1.97
6.65,1.95
6.56,1.93
6.44,1.91
6.32,1.88
6.21,1.86
6.10,1.84
5.98,1.82
5.88,1.79
5.75,1.77
5.64,1.75
5.52,1.72
5.41,1.70
5.28,1.68
5.16,1.66
5.03,1.63
4.92,1.61
4.80,1.59
4.67,1.57
4.56,1.55
4.44,1.53
4.32,1.50
4.21,1.48
4.08,1.46
3.96,1.43
3.85,1.41
3.73,1.39
3.61,1.37
3.50,1.34
3.39,1.32
3.26,1.30
3.15,1.28
3.04,1.25
2.93,1.23
2.82,1.21
2.71,1.19
2.60,1.17
2.49,1.15
2.38,1.12
2.29,1.10
2.18,1.08
2.08,1.05
1.98,1.03
1.89,1.01
1.79,0.99
1.70,0.96
1.59,0.94
1.50,0.92
1.41,0.90
1.31,0.88
1.22,0.85
1.11,0.83
1.03,0.81
0.94,0.79
0.84,0.76
0.76,0.74
0.66,0.72
0.58,0.70
0.49,0.68
0.40,0.65
0.32,0.63
0.22,0.61
0.15,0.58
0.06,0.56
-0.03,0.54
-0.11,0.52
-0.19,0.50
-0.28,0.47
-0.35,0.45
-0.44,0.43
-0.52,0.41
-0.61,0.38
-0.69,0.36
-0.77,0.34
-0.85,0.32
-0.93,0.29
-1.01,0.27
-1.09,0.25
-1.18,0.23
-1.25,0.20
-1.34,0.18
-1.41,0.16
-1.50,0.14
-1.57,0.11
-1.65,0.09
-1.74,0.07
-1.81,0.04
-1.89,0.03
-1.97,0.00
-2.05,-0.02
-2.13,-0.04
-2.21,-0.07
-2.29,-0.09
-2.37,-0.11
-2.44,-0.13
-2.53,-0.15
-2.60,-0.18
-2.69,-0.20
-2.76,-0.22
-2.84,-0.24
-2.93,-0.27
-3.00,-0.29
-3.09,-0.31
-3.17,-0.33
-3.25,-0.36
-3.33,-0.38
-3.42,-0.40
-3.50,-0.43
-3.60,-0.44
-3.71,-0.47
-3.81,-0.49
-3.89,-0.51
-3.99,-0.53
-4.08,-0.55
-4.19,-0.58
-4.27,-0.60
-4.38,-0.62
-4.45,-0.65
-4.56,-0.67
-4.63,-0.69
-4.74,-0.72
-4.83,-0.74
-4.91,-0.76
-5.00,-0.78
-5.09,-0.80
-5.18,-0.82
-5.27,-0.85
-5.35,-0.87
-5.44,-0.89
-5.53,-0.92
-5.61,-0.94
-5.69,-0.96
-5.77,-0.98
-5.87,-1.00
-5.95,-1.03
-6.04,-1.05
-6.12,-1.07
-6.20,-1.09
-6.29,-1.11
-6.37,-1.14
-6.45,-1.16
-6.54,-1.18
-6.62,-1.21
-6.71,-1.23
-6.79,-1.25
-6.87,-1.27
-6.95,-1.29
-7.04,-1.32
-7.11,-1.34
-7.21,-1.36
-7.28,-1.38
-7.37,-1.41
-7.45,-1.43
-7.54,-1.45
-7.62,-1.48
-7.70,-1.50
-7.78,-1.52
-7.87,-1.54
-7.95,-1.56
-8.03,-1.58
-8.11,-1.61
-8.19,-1.63
-8.27,-1.65
-8.35,-1.67
-8.43,-1.70
-8.51,-1.72
-8.59,-1.74
-8.66,-1.76
-8.74,-1.79
-8.81,-1.81
-8.88,-1.83
-8.95,-1.85
-9.02,-1.87
-9.09,-1.90
-9.16,-1.92
-9.23,-1.94
-9.28,-1.97
-9.35,-1.99
-9.42,-2.01
-9.48,-2.03
-9.55,-2.05
-9.61,-2.08
-9.68,-2.10
-9.74,-2.12
-9.81,-2.14
-9.87,-2.17
-9.94,-2.19
-10.00,-2.21
-10.07,-2.24
-10.14,-2.26
-10.20,-2.28
-10.28,-2.30
-10.34,-2.32
-10.41,-2.35
-10.48,-2.36
-10.55,-2.39
-10.62,-2.41
-10.69,-2.43
-10.63,-2.44
-10.49,-2.43
-10.21,-2.40
-9.92,-2.38
-9.74,-2.35
-9.52,-2.33
-9.33,-2.31
-9.09,-2.29
-8.94,-2.27
-8.75,-2.24
-8.59,-2.22
-8.41,-2.20
-8.27,-2.17
-8.09,-2.15
-7.97,-2.13
-7.80,-2.11
-7.66,-2.08
-7.52,-2.06
-7.38,-2.04
-7.23,-2.02
-7.09,-1.99
-6.95,-1.97
-6.81,-1.95
-6.69,-1.93
-6.55,-1.90
-6.42,-1.88
-6.30,-1.86
-6.16,-1.84
-6.04,-1.81
-5.91,-1.79
-5.79,-1.77
-5.67,-1.74
-5.56,-1.72
-5.44,-1.70
-5.33,-1.68
-5.22,-1.66
-5.10,-1.63
-5.00,-1.61
-4.89,-1.59
-4.78,-1.57
-4.68,-1.54
-4.57,-1.52
-4.45,-1.50
-4.36,-1.48
-4.24,-1.46
-4.15,-1.43
-4.04,-1.41
-3.93,-1.39
-3.83,-1.36
-3.72,-1.34
-3.62,-1.32
-3.52,-1.30
-3.42,-1.28
-3.31,-1.25
-3.23,-1.23
-3.12,-1.21
-3.03,-1.18
-2.93,-1.16
-2.84,-1.14
-2.75,-1.12
-2.66,-1.09
-2.57,-1.07
-2.48,-1.05
-2.39,-1.03
-2.30,-1.01
-2.21,-0.98
-2.12,-0.96
-2.03,-0.94
-1.94,-0.91
-1.86,-0.89
-1.77,-0.87
-1.68,-0.85
-1.60,-0.83
-1.51,-0.80
-1.42,-0.78
-1.33,-0.76
-1.25,-0.74
-1.16,-0.71
-1.07,-0.69
-0.99,-0.67
-0.90,-0.65
-0.82,-0.62
-0.74,-0.60
-0.65,-0.58
-0.57,-0.56
-0.49,-0.53
-0.42,-0.51
-0.33,-0.49
-0.25,-0.47
-0.16,-0.44
-0.08,-0.42
-0.01,-0.40
0.07,-0.38
0.14,-0.36
0.22,-0.34
0.30,-0.31
0.38,-0.29
0.46,-0.27
0.55,-0.24
0.62,-0.22
0.70,-0.20
0.79,-0.18
0.87,-0.15
0.95,-0.13
1.02,-0.11
1.10,-0.09
1.18,-0.06
1.26,-0.04
1.34,-0.02
1.42,0.00
1.50,0.03
1.58,0.05
1.66,0.07
1.74,0.09
1.82,0.12
1.90,0.14
1.98,0.16
2.06,0.18
2.14,0.20
2.22,0.23
2.30,0.25
2.38,0.27
2.47,0.29
2.55,0.32
2.64,0.34
2.71,0.36
2.80,0.38
2.88,0.40
2.96,0.43
3.03,0.45
3.12,0.47
3.19,0.49
3.28,0.52
3.36,0.54
3.45,0.56
3.53,0.58
3.61,0.61
3.69,0.63
3.78,0.65
3.85,0.67
3.94,0.70
4.02,0.72
4.09,0.74
4.17,0.76
4.26,0.78
4.34,0.81
4.42,0.83
4.50,0.85
4.59,0.87
4.67,0.90
4.75,0.92
4.83,0.94
4.92,0.96
5.01,0.99
5.10,1.01
5.19,1.03
5.27,1.05
5.36,1.07
5.46,1.10
5.54,1.12
5.63,1.14
5.72,1.16
5.81,1.19
5.89,1.21
5.98,1.23
6.06,1.25
6.15,1.27
6.23,1.30
6.32,1.32
6.41,1.34
6.50,1.36
6.59,1.39
6.67,1.41
6.76,1.43
6.85,1.45
6.93,1.48
7.02,1.50
7.11,1.52
7.19,1.55
7.28,1.57
7.36,1.59
7.44,1.61
7.53,1.64
7.62,1.66
7.70,1.68
7.78,1.70
7.86,1.72
7.94,1.74
8.03,1.77
8.10,1.79
8.18,1.81
8.26,1.83
8.33,1.86
8.40,1.88
8.48,1.90
8.55,1.92
8.61,1.95
8.68,1.97
8.74,1.99
8.81,2.01
8.87,2.04
8.94,2.06
9.00,2.08
